Time(s) " gENROE.delta" " gENROE.PELEC" " eSDC1A.EFD" " gENROE.PMECH" " gENROE.SPEED" " GEN1.V" " LOAD.V" " GEN2.V" " FAULT.V"
0.1 " 34.4037" " 0.4" " 1.43142" " 0.4" " 3.91678e-10" " 0.147755" " 1" " 0.991993" " 1"
0.105 " 34.4037" " 0.4" " 1.43142" " 0.4" " 4.09086e-10" " 0.147755" " 1" " 0.991993" " 1"
0.11 " 34.4037" " 0.4" " 1.43142" " 0.4" " 4.26494e-10" " 0.147755" " 1" " 0.991993" " 1"
0.115 " 34.4037" " 0.4" " 1.43142" " 0.4" " 4.43901e-10" " 0.147755" " 1" " 0.991993" " 1"
0.12 " 34.4037" " 0.4" " 1.43142" " 0.4" " 4.61309e-10" " 0.147755" " 1" " 0.991993" " 1"
0.125 " 34.4037" " 0.4" " 1.43142" " 0.4" " 4.78717e-10" " 0.147755" " 1" " 0.991993" " 1"
0.13 " 34.4037" " 0.4" " 1.43142" " 0.4" " 4.96125e-10" " 0.147755" " 1" " 0.991993" " 1"
0.135 " 34.4037" " 0.4" " 1.43142" " 0.4" " 5.13533e-10" " 0.147755" " 1" " 0.991993" " 1"
0.14 " 34.4037" " 0.4" " 1.43142" " 0.4" " 5.30941e-10" " 0.147755" " 1" " 0.991993" " 1"
0.145 " 34.4037" " 0.4" " 1.43142" " 0.4" " 5.48349e-10" " 0.147755" " 1" " 0.991993" " 1"
0.15 " 34.4037" " 0.4" " 1.43142" " 0.4" " 5.65757e-10" " 0.147755" " 1" " 0.991993" " 1"
0.155 " 34.4037" " 0.4" " 1.43142" " 0.4" " 5.83165e-10" " 0.147755" " 1" " 0.991993" " 1"
0.16 " 34.4037" " 0.4" " 1.43142" " 0.4" " 6.00573e-10" " 0.147755" " 1" " 0.991993" " 1"
0.165 " 34.4037" " 0.4" " 1.43142" " 0.4" " 6.17981e-10" " 0.147755" " 1" " 0.991993" " 1"
0.17 " 34.4037" " 0.4" " 1.43142" " 0.4" " 6.35388e-10" " 0.147755" " 1" " 0.991993" " 1"
0.175 " 34.4037" " 0.4" " 1.43142" " 0.4" " 6.52796e-10" " 0.147755" " 1" " 0.991993" " 1"
0.18 " 34.4037" " 0.4" " 1.43142" " 0.4" " 6.70204e-10" " 0.147755" " 1" " 0.991993" " 1"
0.185 " 34.4037" " 0.4" " 1.43142" " 0.4" " 6.87612e-10" " 0.147755" " 1" " 0.991993" " 1"
0.19 " 34.4037" " 0.4" " 1.43142" " 0.4" " 7.0502e-10" " 0.147755" " 1" " 0.991993" " 1"
0.195 " 34.4037" " 0.4" " 1.43142" " 0.4" " 7.22428e-10" " 0.147755" " 1" " 0.991993" " 1"
0.2 " 34.4037" " 0.4" " 1.43142" " 0.4" " 7.39836e-10" " 0.147755" " 1" " 0.991993" " 1"
0.205 " 34.4037" " 0.4" " 1.43142" " 0.4" " 7.57244e-10" " 0.147755" " 1" " 0.991993" " 1"
0.21 " 34.4037" " 0.4" " 1.43142" " 0.4" " 7.74652e-10" " 0.147755" " 1" " 0.991993" " 1"
0.215 " 34.4037" " 0.4" " 1.43142" " 0.4" " 7.9206e-10" " 0.147755" " 1" " 0.991993" " 1"
0.22 " 34.4037" " 0.4" " 1.43142" " 0.4" " 8.09468e-10" " 0.147755" " 1" " 0.991993" " 1"
0.225 " 34.4037" " 0.4" " 1.43142" " 0.4" " 8.26875e-10" " 0.147755" " 1" " 0.991993" " 1"
0.23 " 34.4037" " 0.4" " 1.43142" " 0.4" " 8.44283e-10" " 0.147755" " 1" " 0.991993" " 1"
0.235 " 34.4037" " 0.4" " 1.43142" " 0.4" " 8.61691e-10" " 0.147755" " 1" " 0.991993" " 1"
0.24 " 34.4037" " 0.4" " 1.43142" " 0.4" " 8.79099e-10" " 0.147755" " 1" " 0.991993" " 1"
0.245 " 34.4037" " 0.4" " 1.43142" " 0.4" " 8.96507e-10" " 0.147755" " 1" " 0.991993" " 1"
0.25 " 34.4037" " 0.4" " 1.43142" " 0.4" " 9.13915e-10" " 0.147755" " 1" " 0.991993" " 1"
0.255 " 34.4037" " 0.4" " 1.43142" " 0.4" " 9.31323e-10" " 0.147755" " 1" " 0.991993" " 1"
0.26 " 34.4037" " 0.4" " 1.43142" " 0.4" " 9.48731e-10" " 0.147755" " 1" " 0.991993" " 1"
0.265 " 34.4037" " 0.4" " 1.43142" " 0.4" " 9.66139e-10" " 0.147755" " 1" " 0.991993" " 1"
0.27 " 34.4037" " 0.4" " 1.43142" " 0.4" " 9.83546e-10" " 0.147755" " 1" " 0.991993" " 1"
0.275 " 34.4037" " 0.4" " 1.43142" " 0.4" " 1.00095e-09" " 0.147755" " 1" " 0.991993" " 1"
0.28 " 34.4037" " 0.4" " 1.43142" " 0.4" " 1.01836e-09" " 0.147755" " 1" " 0.991993" " 1"
0.285 " 34.4037" " 0.4" " 1.43142" " 0.4" " 1.03577e-09" " 0.147755" " 1" " 0.991993" " 1"
0.29 " 34.4037" " 0.4" " 1.43142" " 0.4" " 1.05318e-09" " 0.147755" " 1" " 0.991993" " 1"
0.295 " 34.4037" " 0.4" " 1.43142" " 0.4" " 1.07059e-09" " 0.147755" " 1" " 0.991993" " 1"
0.3 " 34.4037" " 0.4" " 1.43142" " 0.4" " 1.08799e-09" " 0.147755" " 1" " 0.991993" " 1"
0.305 " 34.4037" " 0.4" " 1.43142" " 0.4" " 1.1054e-09" " 0.147755" " 1" " 0.991993" " 1"
0.31 " 34.4037" " 0.4" " 1.43142" " 0.4" " 1.12281e-09" " 0.147755" " 1" " 0.991993" " 1"
0.315 " 34.4037" " 0.4" " 1.43142" " 0.4" " 1.14022e-09" " 0.147755" " 1" " 0.991993" " 1"
0.32 " 34.4037" " 0.4" " 1.43142" " 0.4" " 1.15762e-09" " 0.147755" " 1" " 0.991993" " 1"
0.325 " 34.4037" " 0.4" " 1.43142" " 0.4" " 1.17503e-09" " 0.147755" " 1" " 0.991993" " 1"
0.33 " 34.4037" " 0.4" " 1.43142" " 0.4" " 1.19244e-09" " 0.147755" " 1" " 0.991993" " 1"
0.335 " 34.4037" " 0.4" " 1.43142" " 0.4" " 1.20985e-09" " 0.147755" " 1" " 0.991993" " 1"
0.34 " 34.4037" " 0.4" " 1.43142" " 0.4" " 1.22726e-09" " 0.147755" " 1" " 0.991993" " 1"
0.345 " 34.4037" " 0.4" " 1.43142" " 0.4" " 1.24466e-09" " 0.147755" " 1" " 0.991993" " 1"
0.35 " 34.4037" " 0.4" " 1.43142" " 0.4" " 1.26207e-09" " 0.147755" " 1" " 0.991993" " 1"
0.355 " 34.4037" " 0.4" " 1.43142" " 0.4" " 1.27948e-09" " 0.147755" " 1" " 0.991993" " 1"
0.36 " 34.4037" " 0.4" " 1.43142" " 0.4" " 1.29689e-09" " 0.147755" " 1" " 0.991993" " 1"
0.365 " 34.4037" " 0.4" " 1.43142" " 0.4" " 1.3143e-09" " 0.147755" " 1" " 0.991993" " 1"
0.37 " 34.4037" " 0.4" " 1.43142" " 0.4" " 1.3317e-09" " 0.147755" " 1" " 0.991993" " 1"
0.375 " 34.4037" " 0.4" " 1.43142" " 0.4" " 1.34911e-09" " 0.147755" " 1" " 0.991993" " 1"
0.38 " 34.4037" " 0.4" " 1.43142" " 0.4" " 1.36652e-09" " 0.147755" " 1" " 0.991993" " 1"
0.385 " 34.4037" " 0.4" " 1.43142" " 0.4" " 1.38393e-09" " 0.147755" " 1" " 0.991993" " 1"
0.39 " 34.4037" " 0.4" " 1.43142" " 0.4" " 1.40133e-09" " 0.147755" " 1" " 0.991993" " 1"
0.395 " 34.4037" " 0.4" " 1.43142" " 0.4" " 1.41874e-09" " 0.147755" " 1" " 0.991993" " 1"
0.4 " 34.4037" " 0.4" " 1.43142" " 0.4" " 1.43615e-09" " 0.147755" " 1" " 0.991993" " 1"
0.405 " 34.4037" " 0.4" " 1.43142" " 0.4" " 1.45356e-09" " 0.147755" " 1" " 0.991993" " 1"
0.41 " 34.4037" " 0.4" " 1.43142" " 0.4" " 1.47097e-09" " 0.147755" " 1" " 0.991993" " 1"
0.415 " 34.4037" " 0.4" " 1.43142" " 0.4" " 1.48837e-09" " 0.147755" " 1" " 0.991993" " 1"
0.42 " 34.4037" " 0.4" " 1.43142" " 0.4" " 1.50578e-09" " 0.147755" " 1" " 0.991993" " 1"
0.425 " 34.4037" " 0.4" " 1.43142" " 0.4" " 1.52319e-09" " 0.147755" " 1" " 0.991993" " 1"
0.43 " 34.4037" " 0.4" " 1.43142" " 0.4" " 1.5406e-09" " 0.147755" " 1" " 0.991993" " 1"
0.435 " 34.4037" " 0.4" " 1.43142" " 0.4" " 1.55801e-09" " 0.147755" " 1" " 0.991993" " 1"
0.44 " 34.4037" " 0.4" " 1.43142" " 0.4" " 1.57541e-09" " 0.147755" " 1" " 0.991993" " 1"
0.445 " 34.4037" " 0.4" " 1.43142" " 0.4" " 1.59282e-09" " 0.147755" " 1" " 0.991993" " 1"
0.45 " 34.4037" " 0.4" " 1.43142" " 0.4" " 1.61023e-09" " 0.147755" " 1" " 0.991993" " 1"
0.455 " 34.4037" " 0.4" " 1.43142" " 0.4" " 1.62764e-09" " 0.147755" " 1" " 0.991993" " 1"
0.46 " 34.4037" " 0.4" " 1.43142" " 0.4" " 1.64504e-09" " 0.147755" " 1" " 0.991993" " 1"
0.465 " 34.4037" " 0.4" " 1.43142" " 0.4" " 1.66245e-09" " 0.147755" " 1" " 0.991993" " 1"
0.47 " 34.4037" " 0.4" " 1.43142" " 0.4" " 1.67986e-09" " 0.147755" " 1" " 0.991993" " 1"
0.475 " 34.4037" " 0.4" " 1.43142" " 0.4" " 1.69727e-09" " 0.147755" " 1" " 0.991993" " 1"
0.48 " 34.4037" " 0.4" " 1.43142" " 0.4" " 1.71468e-09" " 0.147755" " 1" " 0.991993" " 1"
0.485 " 34.4037" " 0.4" " 1.43142" " 0.4" " 1.73208e-09" " 0.147755" " 1" " 0.991993" " 1"
0.49 " 34.4037" " 0.4" " 1.43142" " 0.4" " 1.74949e-09" " 0.147755" " 1" " 0.991993" " 1"
0.495 " 34.4037" " 0.4" " 1.43142" " 0.4" " 1.7669e-09" " 0.147755" " 1" " 0.991993" " 1"
0.5 " 34.4037" " 0.4" " 1.43142" " 0.4" " 1.78431e-09" " 0.147755" " 1" " 0.991993" " 1"
0.505 " 34.4037" " 0.4" " 1.43142" " 0.4" " 1.80172e-09" " 0.147755" " 1" " 0.991993" " 1"
0.51 " 34.4037" " 0.4" " 1.43142" " 0.4" " 1.81912e-09" " 0.147755" " 1" " 0.991993" " 1"
0.515 " 34.4037" " 0.4" " 1.43142" " 0.4" " 1.83653e-09" " 0.147755" " 1" " 0.991993" " 1"
0.52 " 34.4037" " 0.4" " 1.43142" " 0.4" " 1.85394e-09" " 0.147755" " 1" " 0.991993" " 1"
0.525 " 34.4037" " 0.4" " 1.43142" " 0.4" " 1.87135e-09" " 0.147755" " 1" " 0.991993" " 1"
0.53 " 34.4037" " 0.4" " 1.43142" " 0.4" " 1.88875e-09" " 0.147755" " 1" " 0.991993" " 1"
0.535 " 34.4037" " 0.4" " 1.43142" " 0.4" " 1.90616e-09" " 0.147755" " 1" " 0.991993" " 1"
0.54 " 34.4037" " 0.4" " 1.43142" " 0.4" " 1.92357e-09" " 0.147755" " 1" " 0.991993" " 1"
0.545 " 34.4037" " 0.4" " 1.43142" " 0.4" " 1.94098e-09" " 0.147755" " 1" " 0.991993" " 1"
0.55 " 34.4037" " 0.4" " 1.43142" " 0.4" " 1.95839e-09" " 0.147755" " 1" " 0.991993" " 1"
0.555 " 34.4037" " 0.4" " 1.43142" " 0.4" " 1.97579e-09" " 0.147755" " 1" " 0.991993" " 1"
0.56 " 34.4037" " 0.4" " 1.43142" " 0.4" " 1.9932e-09" " 0.147755" " 1" " 0.991993" " 1"
0.565 " 34.4037" " 0.4" " 1.43142" " 0.4" " 2.01061e-09" " 0.147755" " 1" " 0.991993" " 1"
0.57 " 34.4037" " 0.4" " 1.43142" " 0.4" " 2.02802e-09" " 0.147755" " 1" " 0.991993" " 1"
0.575 " 34.4037" " 0.4" " 1.43142" " 0.4" " 2.04543e-09" " 0.147755" " 1" " 0.991993" " 1"
0.58 " 34.4037" " 0.4" " 1.43142" " 0.4" " 2.06283e-09" " 0.147755" " 1" " 0.991993" " 1"
0.585 " 34.4037" " 0.4" " 1.43142" " 0.4" " 2.08024e-09" " 0.147755" " 1" " 0.991993" " 1"
0.59 " 34.4037" " 0.4" " 1.43142" " 0.4" " 2.09765e-09" " 0.147755" " 1" " 0.991993" " 1"
0.595 " 34.4037" " 0.4" " 1.43142" " 0.4" " 2.11506e-09" " 0.147755" " 1" " 0.991993" " 1"
0.6 " 34.4037" " 0.4" " 1.43142" " 0.4" " 2.13246e-09" " 0.147755" " 1" " 0.991993" " 1"
0.605 " 34.4037" " 0.4" " 1.43142" " 0.4" " 2.14987e-09" " 0.147755" " 1" " 0.991993" " 1"
0.61 " 34.4037" " 0.4" " 1.43142" " 0.4" " 2.16728e-09" " 0.147755" " 1" " 0.991993" " 1"
0.615 " 34.4037" " 0.4" " 1.43142" " 0.4" " 2.18469e-09" " 0.147755" " 1" " 0.991993" " 1"
0.62 " 34.4037" " 0.4" " 1.43142" " 0.4" " 2.2021e-09" " 0.147755" " 1" " 0.991993" " 1"
0.625 " 34.4037" " 0.4" " 1.43142" " 0.4" " 2.2195e-09" " 0.147755" " 1" " 0.991993" " 1"
0.63 " 34.4037" " 0.4" " 1.43142" " 0.4" " 2.23691e-09" " 0.147755" " 1" " 0.991993" " 1"
0.635 " 34.4037" " 0.4" " 1.43142" " 0.4" " 2.25432e-09" " 0.147755" " 1" " 0.991993" " 1"
0.64 " 34.4037" " 0.4" " 1.43142" " 0.4" " 2.27173e-09" " 0.147755" " 1" " 0.991993" " 1"
0.645 " 34.4037" " 0.4" " 1.43142" " 0.4" " 2.28914e-09" " 0.147755" " 1" " 0.991993" " 1"
0.65 " 34.4037" " 0.4" " 1.43142" " 0.4" " 2.30654e-09" " 0.147755" " 1" " 0.991993" " 1"
0.655 " 34.4037" " 0.4" " 1.43142" " 0.4" " 2.32395e-09" " 0.147755" " 1" " 0.991993" " 1"
0.66 " 34.4037" " 0.4" " 1.43142" " 0.4" " 2.34136e-09" " 0.147755" " 1" " 0.991993" " 1"
0.665 " 34.4037" " 0.4" " 1.43142" " 0.4" " 2.35877e-09" " 0.147755" " 1" " 0.991993" " 1"
0.67 " 34.4037" " 0.4" " 1.43142" " 0.4" " 2.37617e-09" " 0.147755" " 1" " 0.991993" " 1"
0.675 " 34.4037" " 0.4" " 1.43142" " 0.4" " 2.39358e-09" " 0.147755" " 1" " 0.991993" " 1"
0.68 " 34.4037" " 0.4" " 1.43142" " 0.4" " 2.41099e-09" " 0.147755" " 1" " 0.991993" " 1"
0.685 " 34.4037" " 0.4" " 1.43142" " 0.4" " 2.4284e-09" " 0.147755" " 1" " 0.991993" " 1"
0.69 " 34.4037" " 0.4" " 1.43142" " 0.4" " 2.44581e-09" " 0.147755" " 1" " 0.991993" " 1"
0.695 " 34.4037" " 0.4" " 1.43142" " 0.4" " 2.46321e-09" " 0.147755" " 1" " 0.991993" " 1"
0.7 " 34.4037" " 0.4" " 1.43142" " 0.4" " 2.48062e-09" " 0.147755" " 1" " 0.991993" " 1"
0.705 " 34.4037" " 0.4" " 1.43142" " 0.4" " 2.49803e-09" " 0.147755" " 1" " 0.991993" " 1"
0.71 " 34.4037" " 0.4" " 1.43142" " 0.4" " 2.51544e-09" " 0.147755" " 1" " 0.991993" " 1"
0.714999 " 34.4037" " 0.4" " 1.43142" " 0.4" " 2.53285e-09" " 0.147755" " 1" " 0.991993" " 1"
0.719999 " 34.4037" " 0.4" " 1.43142" " 0.4" " 2.55025e-09" " 0.147755" " 1" " 0.991993" " 1"
0.724999 " 34.4037" " 0.4" " 1.43142" " 0.4" " 2.56766e-09" " 0.147755" " 1" " 0.991993" " 1"
0.729999 " 34.4037" " 0.4" " 1.43142" " 0.4" " 2.58507e-09" " 0.147755" " 1" " 0.991993" " 1"
0.734999 " 34.4037" " 0.4" " 1.43142" " 0.4" " 2.60248e-09" " 0.147755" " 1" " 0.991993" " 1"
0.739999 " 34.4037" " 0.4" " 1.43142" " 0.4" " 2.61988e-09" " 0.147755" " 1" " 0.991993" " 1"
0.744999 " 34.4037" " 0.4" " 1.43142" " 0.4" " 2.63729e-09" " 0.147755" " 1" " 0.991993" " 1"
0.749999 " 34.4037" " 0.4" " 1.43142" " 0.4" " 2.6547e-09" " 0.147755" " 1" " 0.991993" " 1"
0.754999 " 34.4037" " 0.4" " 1.43142" " 0.4" " 2.67211e-09" " 0.147755" " 1" " 0.991993" " 1"
0.759999 " 34.4037" " 0.4" " 1.43142" " 0.4" " 2.68952e-09" " 0.147755" " 1" " 0.991993" " 1"
0.764999 " 34.4037" " 0.4" " 1.43142" " 0.4" " 2.70692e-09" " 0.147755" " 1" " 0.991993" " 1"
0.769999 " 34.4037" " 0.4" " 1.43142" " 0.4" " 2.72433e-09" " 0.147755" " 1" " 0.991993" " 1"
0.774999 " 34.4037" " 0.4" " 1.43142" " 0.4" " 2.74174e-09" " 0.147755" " 1" " 0.991993" " 1"
0.779999 " 34.4037" " 0.4" " 1.43142" " 0.4" " 2.75915e-09" " 0.147755" " 1" " 0.991993" " 1"
0.784999 " 34.4037" " 0.4" " 1.43142" " 0.4" " 2.77656e-09" " 0.147755" " 1" " 0.991993" " 1"
0.789999 " 34.4037" " 0.4" " 1.43142" " 0.4" " 2.79396e-09" " 0.147755" " 1" " 0.991993" " 1"
0.794999 " 34.4037" " 0.4" " 1.43142" " 0.4" " 2.81137e-09" " 0.147755" " 1" " 0.991993" " 1"
0.799999 " 34.4037" " 0.4" " 1.43142" " 0.4" " 2.82878e-09" " 0.147755" " 1" " 0.991993" " 1"
0.804999 " 34.4037" " 0.4" " 1.43142" " 0.4" " 2.84619e-09" " 0.147755" " 1" " 0.991993" " 1"
0.809999 " 34.4037" " 0.4" " 1.43142" " 0.4" " 2.86359e-09" " 0.147755" " 1" " 0.991993" " 1"
0.814999 " 34.4037" " 0.4" " 1.43142" " 0.4" " 2.881e-09" " 0.147755" " 1" " 0.991993" " 1"
0.819999 " 34.4037" " 0.4" " 1.43142" " 0.4" " 2.89841e-09" " 0.147755" " 1" " 0.991993" " 1"
0.824999 " 34.4037" " 0.4" " 1.43142" " 0.4" " 2.91582e-09" " 0.147755" " 1" " 0.991993" " 1"
0.829999 " 34.4037" " 0.4" " 1.43142" " 0.4" " 2.93323e-09" " 0.147755" " 1" " 0.991993" " 1"
0.834999 " 34.4037" " 0.4" " 1.43142" " 0.4" " 2.95063e-09" " 0.147755" " 1" " 0.991993" " 1"
0.839999 " 34.4037" " 0.4" " 1.43142" " 0.4" " 2.96804e-09" " 0.147755" " 1" " 0.991993" " 1"
0.844999 " 34.4037" " 0.4" " 1.43142" " 0.4" " 2.98545e-09" " 0.147755" " 1" " 0.991993" " 1"
0.849999 " 34.4037" " 0.4" " 1.43142" " 0.4" " 3.00286e-09" " 0.147755" " 1" " 0.991993" " 1"
0.854999 " 34.4037" " 0.4" " 1.43142" " 0.4" " 3.02027e-09" " 0.147755" " 1" " 0.991993" " 1"
0.859999 " 34.4037" " 0.4" " 1.43142" " 0.4" " 3.03767e-09" " 0.147755" " 1" " 0.991993" " 1"
0.864999 " 34.4037" " 0.4" " 1.43142" " 0.4" " 3.05508e-09" " 0.147755" " 1" " 0.991993" " 1"
0.869999 " 34.4037" " 0.4" " 1.43142" " 0.4" " 3.07249e-09" " 0.147755" " 1" " 0.991993" " 1"
0.874999 " 34.4037" " 0.4" " 1.43142" " 0.4" " 3.0899e-09" " 0.147755" " 1" " 0.991993" " 1"
0.879999 " 34.4037" " 0.4" " 1.43142" " 0.4" " 3.1073e-09" " 0.147755" " 1" " 0.991993" " 1"
0.884999 " 34.4037" " 0.4" " 1.43142" " 0.4" " 3.12471e-09" " 0.147755" " 1" " 0.991993" " 1"
0.889999 " 34.4037" " 0.4" " 1.43142" " 0.4" " 3.14212e-09" " 0.147755" " 1" " 0.991993" " 1"
0.894999 " 34.4037" " 0.4" " 1.43142" " 0.4" " 3.15953e-09" " 0.147755" " 1" " 0.991993" " 1"
0.899999 " 34.4037" " 0.4" " 1.43142" " 0.4" " 3.17694e-09" " 0.147755" " 1" " 0.991993" " 1"
0.904999 " 34.4037" " 0.4" " 1.43142" " 0.4" " 3.19434e-09" " 0.147755" " 1" " 0.991993" " 1"
0.909999 " 34.4037" " 0.4" " 1.43142" " 0.4" " 3.21175e-09" " 0.147755" " 1" " 0.991993" " 1"
0.914999 " 34.4037" " 0.4" " 1.43142" " 0.4" " 3.22916e-09" " 0.147755" " 1" " 0.991993" " 1"
0.919999 " 34.4037" " 0.4" " 1.43142" " 0.4" " 3.24657e-09" " 0.147755" " 1" " 0.991993" " 1"
0.924999 " 34.4037" " 0.4" " 1.43142" " 0.4" " 3.26398e-09" " 0.147755" " 1" " 0.991993" " 1"
0.929999 " 34.4037" " 0.4" " 1.43142" " 0.4" " 3.28138e-09" " 0.147755" " 1" " 0.991993" " 1"
0.934999 " 34.4037" " 0.4" " 1.43142" " 0.4" " 3.29879e-09" " 0.147755" " 1" " 0.991993" " 1"
0.939999 " 34.4037" " 0.4" " 1.43142" " 0.4" " 3.3162e-09" " 0.147755" " 1" " 0.991993" " 1"
0.944999 " 34.4037" " 0.4" " 1.43142" " 0.4" " 3.33361e-09" " 0.147755" " 1" " 0.991993" " 1"
0.949999 " 34.4037" " 0.4" " 1.43142" " 0.4" " 3.35101e-09" " 0.147755" " 1" " 0.991993" " 1"
0.954999 " 34.4037" " 0.4" " 1.43142" " 0.4" " 3.36842e-09" " 0.147755" " 1" " 0.991993" " 1"
0.959999 " 34.4037" " 0.4" " 1.43142" " 0.4" " 3.38583e-09" " 0.147755" " 1" " 0.991993" " 1"
0.964999 " 34.4037" " 0.4" " 1.43142" " 0.4" " 3.40324e-09" " 0.147755" " 1" " 0.991993" " 1"
0.969999 " 34.4037" " 0.4" " 1.43142" " 0.4" " 3.42065e-09" " 0.147755" " 1" " 0.991993" " 1"
0.974999 " 34.4037" " 0.4" " 1.43142" " 0.4" " 3.43805e-09" " 0.147755" " 1" " 0.991993" " 1"
0.979999 " 34.4037" " 0.4" " 1.43142" " 0.4" " 3.45546e-09" " 0.147755" " 1" " 0.991993" " 1"
0.984999 " 34.4037" " 0.4" " 1.43142" " 0.4" " 3.47287e-09" " 0.147755" " 1" " 0.991993" " 1"
0.989999 " 34.4037" " 0.4" " 1.43142" " 0.4" " 3.49028e-09" " 0.147755" " 1" " 0.991993" " 1"
0.994999 " 34.4037" " 0.4" " 1.43142" " 0.4" " 3.50769e-09" " 0.147755" " 1" " 0.991993" " 1"
0.999999 " 34.4037" " 0.4" " 1.43142" " 0.4" " 3.52509e-09" " 0.147755" " 1" " 0.991993" " 1"
1.005 " 34.4037" " 0.4" " 1.43142" " 0.4" " 3.5425e-09" " 0.147755" " 1" " 0.991993" " 1"
1.01 " 34.4037" " 0.4" " 1.43142" " 0.4" " 3.55991e-09" " 0.147755" " 1" " 0.991993" " 1"
1.015 " 34.4037" " 0.4" " 1.43142" " 0.4" " 3.57732e-09" " 0.147755" " 1" " 0.991993" " 1"
1.02 " 34.4037" " 0.4" " 1.43142" " 0.4" " 3.59472e-09" " 0.147755" " 1" " 0.991993" " 1"
1.025 " 34.4037" " 0.4" " 1.43142" " 0.4" " 3.61213e-09" " 0.147755" " 1" " 0.991993" " 1"
1.03 " 34.4037" " 0.4" " 1.43142" " 0.4" " 3.62954e-09" " 0.147755" " 1" " 0.991993" " 1"
1.035 " 34.4037" " 0.4" " 1.43142" " 0.4" " 3.64695e-09" " 0.147755" " 1" " 0.991993" " 1"
1.04 " 34.4037" " 0.4" " 1.43142" " 0.4" " 3.66436e-09" " 0.147755" " 1" " 0.991993" " 1"
1.045 " 34.4037" " 0.4" " 1.43142" " 0.4" " 3.68176e-09" " 0.147755" " 1" " 0.991993" " 1"
1.05 " 34.4037" " 0.4" " 1.43142" " 0.4" " 3.69917e-09" " 0.147755" " 1" " 0.991993" " 1"
1.055 " 34.4037" " 0.4" " 1.43142" " 0.4" " 3.71658e-09" " 0.147755" " 1" " 0.991993" " 1"
1.06 " 34.4037" " 0.4" " 1.43142" " 0.4" " 3.73399e-09" " 0.147755" " 1" " 0.991993" " 1"
1.065 " 34.4037" " 0.4" " 1.43142" " 0.4" " 3.7514e-09" " 0.147755" " 1" " 0.991993" " 1"
1.07 " 34.4037" " 0.4" " 1.43142" " 0.4" " 3.7688e-09" " 0.147755" " 1" " 0.991993" " 1"
1.075 " 34.4037" " 0.4" " 1.43142" " 0.4" " 3.78621e-09" " 0.147755" " 1" " 0.991993" " 1"
